년월,주택담보대출금리,미국달러,일본엔,유로,소비자물가지수,소비자물가지수증감률,KOSPI_종가,KOSDAQ_종가,무담보콜금리,KORIBOR,CD,국고채_1년,국고채_10년,면적당가격
202108,2.88,1164.4,10.5888,1373.7,102.75,0.5,3199.27,1038.33,0.56,0.79,0.77,1.001,1.905,1429.2656140198603
202109,3.01,1184.9,10.5818,1374.31,103.16999999999999,0.4,3068.8199999999997,1003.27,0.77,0.93,0.98,1.073,2.061,1484.1370777492261
202110,3.26,1171.7,10.3165,1368.78,103.35,0.2,2970.68,992.33,0.74,1.02,1.08,1.178,2.399,1464.4721417943722
202111,3.51,1193.4,10.4956,1347.59,103.86999999999999,0.5,2839.01,965.6300000000001,0.796,1.2,1.17,1.339,2.355,1420.7610771241157
202112,3.6300000000000003,1185.5,10.3024,1342.34,104.04,0.2,2977.65,1033.98,1.012,1.36,1.27,1.32,2.187,1432.3446539483582
202201,3.8500000000000005,1202.4,10.428,1340.07,104.69,0.6,2663.34,872.87,1.188,1.45,1.39,1.422,2.492,1349.2731966520873
202202,3.88,1202.7,10.4152,1342.0900000000001,105.3,0.6,2699.1800000000003,881.07,1.2190000000000003,1.47,1.5,1.4799999999999998,2.69,1342.5057797753234
202203,3.84,1210.8,9.9274,1351.13,106.05999999999999,0.7,2757.65,944.53,1.244,1.47,1.5,1.586,2.784,1428.0618251120636
202204,3.9,1269.4,9.7016,1332.74,106.85,0.7,2695.05,904.75,1.299,1.6,1.64,2.002,3.219,1509.6978215366898
202205,3.9,1245.8,9.7561,1342.29,107.56,0.7,2685.9,893.36,1.505,1.74,1.77,2.049,3.295,1407.5000151775303
